ID,title,authors,abstract
*research1331,Reverse Engineering Aggregation Queries,"Wei Chit  Tan, SUTD; Meihui Zhang, SUTD; Hazem Elmeleegy, Turn Inc.; Divesh Srivastava, AT&T","Query reverse engineering seeks to re-generate the SQL query that produced a given query output table from a given database. In this paper, we propose our solution for this problem for OLAP queries with group-by and aggregation. We develop a novel three-phase algorithm named REGAL for this problem. First, based on a lattice graph structure, we identify a set of group-by candidates for the desired query. Second, we apply a set of aggregation constraints that are derived from the properties of aggregate operators at both the table level and the group level to discover candidate combinations of group-by columns and aggregations that are consistent with the given query output table. Finally, we find a multidimensional filter, i.e., a conjunction of selection predicates over the base table attributes, that is needed to generate the exact query output table. We conduct an extensive experimental study over the TPC-H dataset to examine the effectiveness and efficiency of our proposal."
*research1362,Scalable and robust set similarity join,"Tobias Christiani, IT University of Copenhagen; Rasmus Pagh, IT University of Copenhagen; Johan Sivertsen, IT University of Copenhagen","Set similarity join is a fundamental and well-studied database operator. It is usually studied in the exact setting where the goal is to compute all pairs of sets that exceed a given level of similarity (measured e.g. as Jaccard similarity). But set similarity join is often used in settings where 100% recall may not be important --- indeed, where the exact set similarity join is itself only an approximation of the desired result set.  We present a new randomized algorithm for set similarity join that can achieve any desired recall up to 100%,  and show theoretically and empirically that it significantly outperforms state-of-the-art implementations of exact methods, and improves on existing approximate methods. Our experiments on benchmark data sets show that speedups of more than 1 order of magnitude is possible on real data, while keeping the recall above 90%. Our algorithm makes use of recent theoretical advances in high-dimensional sketching and indexing that we believe to be of wider relevance to the database community."
*research1363,LDA*: A Robust and Large-scale Topic Modeling System,"Lele Yu, Peking University; Bin Cui, Peking University; Ce Zhang, ETH; Yingxia Shao, PKU","We present LDA*, a system that has been deployed in one of the largest Internet companies to fulfil their requirements of –topic modeling as an internal service”ãrelying on thousands of machines,engineers in different sectors submit their data, some are as large as 1.8TB, to LDA* and get results back in hours. LDA* is motivated by the observation that none of the existing topic modeling systems is robust enoughãEach of these existing systems is designed for a specific point in the trade-off space that can be suboptimal, sometimes by up to 10_, across workloads.  Our first contribution is a systematic study of all recently proposed samplers: AliasLDA, F+LDA, LightLDA, and WarpLDA. We discovered a novel system trade-off among these samplers. Each sampler has different sampling complexity and performs differently, sometimes by 5_, on documents with different lengths. Based on this trade-off, we further developed a hybrid sampler that uses different samplers for different types of documents. This hybrid approach works across a wide range of workloads and outperforms the existing samplers by up to 2_. We then focused on distributed environments in which thousands of workers, each with different performance (due to virtualization and resource sharing), coordinate to train a topic model. Our second contribution is an asymmetric parameter server architecture that pushes some computation to the parameter server side. This architecture is motivated by the skew of the word frequency distribution and a novel trade-off we discovered between communication and computation. With this architecture, we outperform the traditional, symmetric architecture by up to 2_.  With these two contributions, together with a carefully engineered implementation, our system is able to outperform existing systems by up to 10_ and has already been running to provide topic modeling services for more than six months."
*research1364,Social Hash Partitioner:  A Scalable Distributed Hypergraph Partitioner,"Igor Kabiljo, Facebook; Brian Karrer, Facebook; Mayank Pundir, Facebook; Sergey Pupyrev, Facebook; Alon Shalita, Facebook; Yaroslav Akhremtsev, Karlsruhe Institute of Technology; Alessandro Presta, Google","We design and implement a distributed algorithm for balanced k-way hypergraph partitioning that minimizes fanout, a fundamental hypergraph quantity also known as the communication volume and (k-1)-cut metric, by optimizing a novel objective we call probabilistic fanout. This choice allows our simple local heuristic algorithm to achieve comparable solution quality to the best existing hypergraph partitioners.       Our algorithm is arbitrarily scalable due to a careful design that controls computational complexity, space complexity, and communication.  In practice, we commonly process hypergraphs with billions of vertices and hyperedges in a few hours. We explain how the algorithm's scalability, both in terms of hypergraph size and bucket count, is limited only by the number of machines available.  We perform an extensive comparison to existing distributed hypergraph partitioners and find that our approach is able to optimize hypergraphs roughly 100 times bigger on the same set of machines.      We call the resulting tool Social Hash Partitioner (SHP), and accompanying this paper, we open-source the most scalable version based on recursive bisection. "
*research1365,On Sampling from Massive Graph Streams,"Nesreen Ahmed, Intel Labs; Nick Duffield, Texas A&M University; Theodore Willke, Intel Labs; Ryan Rossi, PARC","We propose Graph Priority Sampling (GPS), a new paradigm for order-based reservoir sampling from massive streams of graph edges. GPS provides a general way to weight edge sampling according to auxiliary and/or size variables so as to accomplish various estimation goals of graph properties. In the context of subgraph counting, we show how edge sampling weights can be chosen so as to minimize the estimation variance of counts of specified sets of subgraphs. In distinction with many prior graph sampling schemes, GPS separates the functions of edge sampling and subgraph estimation. We propose two estimation frameworks: (1) Post-Stream estimation, to allow GPS to construct a reference sample of edges to support retrospective graph queries, and (2) In-Stream estimation, to allow GPS to obtain lower variance estimates by incrementally updating the subgraph count estimates during stream processing. Unbiasedness of subgraph estimators is established through a new Martingale formulation of graph stream order sampling, in which subgraph estimators, written as a product of constituent edge estimators, are unbiased, even when computed at different points in the stream. The separation of estimation and sampling enables significant resource savings relative to previous work. We illustrate our framework with applications to triangle and wedge counting. We perform a large-scale experimental study on real-world graphs from various domains and types. GPS achieves high accuracy with less than 1% error for triangle and wedge counting, while storing a small fraction of the graph with average update times of a few microseconds per edge. Notably, for billion-scale graphs, GPS accurately estimates triangle and wedge counts with less than 1% error, while storing a small fraction of less than 0.01% of the total edges in the graph."
*research1366,Pyramid Sketch: a Sketch Framework for Frequency Estimation of Data Streams,"Tong Yang, Peking University; Yang Zhou, Peking University; Hao Jin, Peking University; Shigang Chen, Department of Computer & Information of Science & Engineering, University of Flo; Xiaoming Li, Peking University","Sketch is a probabilistic data structure, and is used to store and query the frequency of any item in a given multiset. Due to its high memory efficiency, it has been applied to various fields in computer science, such as stream database, network traffic measurement, etc. The key metrics of sketches for data streams are accuracy, speed, and memory usage. There are various sketches in the literature, but they cannot achieve both high accuracy and high speed using limited memory, especially for skewed datasets. To address this issue, we propose a sketch framework, the Pyramid sketch, which can significantly improve accuracy as well as update and query speed. To verify the effectiveness and efficiency of our framework, we applied our framework to four typical sketches. Extensive experimental results show that the accuracy is improved up to 3.50 times, while the speed is improved up to 2.10 times. We have released our source code at Github."
*research1370,Reconciling Skyline and Ranking Queries,"Paolo Ciaccia, Universitš di Bologna; Davide Martinenghi, Politecnico di Milano","Traditionally, skyline and ranking queries have been treated separately as alternative ways of discovering interesting data in potentially large datasets. While ranking queries adopt a specific scoring function to rank tuples, skyline queries return the set of non-dominated tuples and are independent of attribute scales and scoring functions. Ranking queries are thus less general but usually cheaper to compute and widely used in data management systems. We propose a framework to seamlessly integrate these two approaches by introducing the notion of restricted skyline queries (R-skylines). We propose R-skyline operators that generalize both skyline and ranking queries by applying the notion of dominance to a set of scoring functions of interest. Such sets can be characterized, e.g., by imposing constraints on the functionês parameters, such as the weights in a linear scoring function. We discuss the formal properties of these new operators, show how to implement them efficiently, and evaluate them on both synthetic and real datasets."
*research1371,An Optimizable Query Language for Unified Scale-out Data Cleaning,"Stella Giannakopoulou, EPFL; Manos Karpathiotakis, EPFL; Benjamin Gaidioz; Anastasia Ailamaki, EPFL","Data cleaning has become an indispensable part of data analysis due to the increasing amount of dirty data. Data scientists spend most of their time preparing dirty data before it can be used for data analysis. At the same time, the existing tools that attempt to automate the data cleaning procedure typically focus on a specific use case and operation. Still, even such specialized tools exhibit long running times or fail to process large datasets. Therefore, from a userês perspective, one is forced to use a different, potentially inefficient tool for each category of errors. This paper addresses the coverage and efficiency problems of data cleaning. It introduces CleanM (pronounced cleanêem), a language  which can express multiple types of cleaning operations. CleanM goes through a three-level translation process for optimization  purposes; a different family of optimizations is applied in each abstraction level. Thus, CleanM can express complex data cleaning tasks, optimize them in a unified way, and deploy them in a scale-out  fashion. We validate the applicability of CleanM by using it on top of CleanDB, a newly designed and implemented framework which can query heterogeneous data. When compared to existing data cleaning solutions, CleanDB a) covers more data corruption cases, b) is up to _ 2_ faster on average, scales better, and can handle cases for which its competitors are unable to terminate, and c) uses a single interface for querying and for data cleaning."
*research1372,TPStream: Low-Latency Temporal Pattern Matching on Event Streams,"Michael K_rber, Philipps University Marburg; Nikolaus Glombiewski, Philipps University Marburg; Bernhard Seeger, University of Marburg, Germany","Complex Event Processing (CEP) has emerged as the state-of-the-art technology for continuously monitoring and analyzing streams of events in time-critical applications. The key feature in CEP is sequential pattern matching to detect a user-defined sequence of conditions on event streams. However, many CEP applications are not restricted to events only, but require native support for situations (aggregated event data lasting periods of time) and expressive temporal pattern matching among these situations. These important requirements regarding situations are not sufficiently addressed in the CEP literature so far.  In this paper we present TPStream, a novel event-processing operator for both deriving situations from event streams and detecting temporal patterns among situations. First, we provide a formal foundation of situations and TPStream. Then, we propose a low-latency algorithm for TPStream that delivers situations and temporal matches at the earliest possible point in time. Furthermore, we utilize a simple, yet effective cost model in order to adapt to changing workloads on the fly and with negligible cost for migrating operator states. The results of our exhaustive experimental evaluation show that TPStream is capable of processing high-volume event streams with low latency and outperforms applicable CEP solutions from academia and industry."
*research1374,Distributed Trajectory Similarity Search,"Dong Xie, University of Utah; Feifei Li, University of Utah; Jeff Phillips, University of Utah","Mobile and sensing devices have already become ubiquitous. They have made tracking moving objects an easy task.  As a result, mobile applications like Uber and many IoT projects have generated massive amounts of trajectory data that can no longer be processed by a single machine efficiently. Among the typical query operations over trajectories, similarity search is a common yet expensive operator in querying trajectory data. It is useful for applications in different domains such as traffic and transportation optimizations, weather forecast and modeling, and sports analytics. It is also a fundamental operator for many important mining operations such as clustering and classification of trajectories. In this paper, we propose a distributed query framework to process trajectory similarity search over a large set of trajectories. We have implemented the proposed framework in Spark, a popular distributed data processing engine, by carefully considering different design choices.  Our query framework supports both the Hausdorff distance the Fr_chet distance. Extensive experiments have demonstrated the excellent scalability and query efficiency achieved by our design, compared to other methods and design alternatives."
*research1375,Runtime Optimization of Join Location in Parallel Data Management Systems,"Bikash Chandra, IIT Bombay; S. Sudarshan, IIT Bombay","Applications running on parallel systems often need to join a streaming relation or a stored relation with data indexed in a parallel data storage system. Some applications also compute UDFs on the joined tuples. The join can be done at the data storage nodes, corresponding to reduce side joins, or by fetching data from the storage system, corresponding to map side join. Both may be suboptimal: reduce side joins may cause skew, while map side joins may lead to a lot of data being transferred and replicated.   In this paper, we present techniques to make runtime decisions between the two options on a per key basis, in order to improve the throughput of the join, accounting for UDF computation if any. Our techniques are based on an extended ski-rental algorithm and provide worst-case performance guarantees with respect to the optimal point in the space considered by us. Our techniques use load balancing taking into account the CPU, network and I/O costs as well as the load on clients and servers. We have implemented our techniques on Hadoop, Spark and the Muppet stream processing engine. Our experiments show that our optimization techniques provide a significant improvement in throughput over existing techniques."
*research1376,Stitching Web Tables for Improving Matching Quality [Experiments and Analyses],"Oliver Lehmberg, University of Mannheim; Christian Bizer, University of Mannheim","Tables on web pages (–web tables”) cover a diversity of topics and can be a source of information for different tasks such as knowledge base augmentation or the ad-hoc extension of datasets. However, to use this information, the tables must first be integrated, either with each other or into existing data sources. The challenges that matching methods for this purpose have to overcome are the high heterogeneity and the small size of the tables. Though it is known that the majority of web tables in currently available corpora are very small, most of the existing methods do not recognise this fact as a problem for the matching process. In this experimental paper, we evaluate T2K Match, an existing web table to knowledge base matching method, and COMA, a standard schema matching tool, on a sample of web tables that is more realistic than the gold standards that are often used to compare matching systems, drawn from a corpus of 5 million web tables. We find that the methods fail to produce a correct result for many of the very small tables in this sample. As a remedy, we propose to stitch the many small web tables into larger ones. For this stitching process, we experimentally evaluate several standard schema matching methods in combination with holistic schema matching. Limiting this procedure to web tables from the same web site decreases the heterogeneity and we can perform this stitching at very high precision. Our experiments show that we improve the results for the original task by 0.38 in F1-Measure for T2K Match and by 0.14 for COMA when applying the stitching method. Stitching the tables further allows us to reduce the amount of tables in the corpus from 5 million original web tables to as few as 100,000 stitched tables."
*research1377,DigitHist: a Histogram-Based Data Summary with Tight Error Bounds,"Michael Shekelyan, Free University of Bolzano; Anton Dign_s, Free University of Bolzano; Johann Gamper, Free University of Bozen-Bolzano, Italy","We propose DigitHist, a histogram summary for selectivity estimation on multidimensional data with tight error bounds. By combining multidimensional and one-dimensional histograms along regular grids of different resolutions, DigitHist provides an accurate and reliable histogram approach for multidimensional data. To achieve a compact summary, we use a sparse representation combined with a novel histogram compression technique that chooses a higher resolution in dense regions and a lower resolution elsewhere. For the construction of DigitHist, we propose a new error measure, termed u-error, which minimizes the width between the guaranteed upper and lower bounds of the selectivity estimate. The construction algorithm performs a single data scan and has linear time complexity. An in-depth experimental evaluation shows that DigitHist delivers superior precision and error bounds than state-of-the-art competitors at a comparable query time."
*research1380,Fast Scans on Key-Value Stores,"Markus Pilman, ETH Zurich; Kevin Bocksrocker, Microsoft; Lucas Braun, ETH Zurich; Renato MarroquÍn, ETH Zurich; Donald Kossmann, ETH Zurich","Key-Value Stores (KVS) are becoming increasingly popular because they scale up and down elastically, sustain high throughputs for get/put workloads and have low latencies. KVS owe these advantages to their simplicity. This simplicity, however, comes at a cost: It is expensive to process complex, analytical queries on top of a KVS because today's generation of KVS does not support an efficient way to scan the data. The problem is that there are conflicting goals when designing a KVS for analytical queries and for simple get/put workloads: Analytical queries require high locality and a compact representation of data whereas elastic get/put workloads require sparse indexes.  This paper shows that it is possible to have it all, with reasonable compromises.  We studied the KVS design space and built TellStore, a distributed KVS, that performs almost as well as state-of-the-art KVS for get/put workloads and orders of magnitude better for analytical and mixed workloads. This paper presents the results of comprehensive experiments with an extended version of the YCSB benchmark and a workload from the telecommunication industry."
*research1381,Finding the maximum clique in massive graphs,"Can Lu, CUHK; Jeffrey  Yu, Chinese University of Hong Kong; Hao Wei, The Chinese University of HK; Yikai Zhang, Chinese University of Hong Kong","Cliques refer to subgraphs in an undirected graph such that vertices in each subgraph are pairwise adjacent. The maximum clique problem, to find the clique with most vertices in a given graph, has been extensively studied by researchers. Besides its theoretical value as an NP-hard problem, the maximum clique problem is known to have direct applications in various fields, such as community search in social networks and social media, team formation in expert networks, gene expression and motif discovery in bioinformatics and anomaly detection in complex networks, revealing the structure and function of networks. However, algorithms designed for the maximum clique problem are too expensive to deal with real-world networks, which are massive, sparse and associated with various characteristics.  In this paper, we devise a randomized algorithm for the maximum clique problem. Different from previous algorithms that search from each vertex one after another, our approach RMC, for the randomized maximum clique problem, employs a binary search while maintains a lower bound CL and an upper bound CU of omega(G). In each iteration, RMC attempts to find a CT-clique where CT=(CL+CU)/2. As finding CT in each iteration is NP-complete, we extract a seed set S such that the problem of finding a CT-clique in G is equivalent to finding a CT-clique in S with robability guarantees (>= 1-n^{-c}). We propose a novel iterative algorithm to determine the maximum clique by searching a k-clique in S starting from k=CL+1 until S becomes empty, when more iterations benefit marginally. As confirmed by the experiments, our approach is much more efficient and robust than previous solutions and can always find the exact maximum clique. "
*research1382,Privacy-preserving Network Provenance,"Yuankai Zhang, Georgetown University; Adam O'Neill; Micah Sherr; Wenchao Zhou, Georgetown University, USA","Network accountability, forensic analysis, and failure diagnosis are becoming increasingly important for network management and security. {\em Network provenance} significantly aids network administrators in these tasks by explaining system behavior and revealing the dependencies between system states. Although resourceful, network provenance can sometimes be too rich, revealing potentially sensitive information that was involved in system execution. In this paper, we propose a cryptographic approach to preserve the confidentiality of provenance (sub)graphs while allowing users to query and access the parts of the graph for which they are authorized. Our proposed solution is a novel application of searchable symmetric encryption (SSE), first introduced by Curtmola et al. (CCS 2006).  Our SSE-enabled provenance system allows a node to enforce access control policies over its provenance data even after the data has been shipped to remote nodes (e.g., for optimization purposes). We present a prototype of our design and demonstrate its practicality, scalability, and efficiency for both provenance maintenance and querying."
*research1383,An Efficient Probabilistic Approach for Graph Similarity Search,"Zijian Li, HKUST; Xun Jian; Xiang Lian, Kent State University; Lei Chen, HKUST","Graph similarity search is a common and fundamental operation in graph databases. One of the most popular graph similarity measures is the Graph Edit Distance (GED) mainly because of its broad applicability and high interpretability. Despite its prevalence, exact GED computation is proved to be NP-hard, which could result in unsatisfactory computational efficiency on large graphs. However, exactly accurate search results are usually unnecessary for real-world applications especially when the responsiveness is far more important than the accuracy. Thus, in this paper, we propose a novel probabilistic approach to efficiently estimate GED, which is further leveraged for the graph similarity search. Specifically, we first take branches as elementary structures in graphs, and introduce a novel graph similarity measure by comparing branches between graphs, i.e., Graph Branch Distance (GBD), which can be efficiently calculated in polynomial time. Then, we formulate the relationship between GED and GBD by considering branch variations as the result ascribed to graph edit operations, and model this process by probabilistic approaches. By applying our model, the GED between any two graphs can be efficiently estimated by their GBD, and these estimations are finally utilized in the graph similarity search. Extensive experiments show that our approach has better accuracy, efficiency and scalability than other comparable methods in the graph similarity search over real and synthetic data sets."
*research1384,Truth Discovery for SpatioTemporal Events from Crowdsourced Data,"Daniel Garcia Ulloa, Emory University; Li Xiong, Emory; Vaidy Sunderam, Emory University","One of the greatest challenges in spatial crowdsourcing is determining the veracity of reports from multiple users about a particular event or phenomenon. In this paper, we address the difficulties of truth discovery in spatio-temporal tasks and present a new method based on recursive Bayesian estimation (BE) from multiple reports of users. Our method incorporates a reliability model for users, which improves as more reports arrive while increasing the accuracy of the model in labeling the state of the event. The model is fur- ther improved by Kalman estimation (BE+KE) that models the spatio-temporal correlations of the events and predicts the next state of an event and is corrected when new reports arrive. The methods are tested in a simulated environment, as well as using real-world data. Experimental results show that our methods are adaptable to the available data, can incorporate previous beliefs, and outperform existing truth discovery methods of spatio-temporal events."
